"","logFC","logCPM","F","PValue","FDR"
"LACTB2-AS1",0.432836464570047,2.02271660294013,3.93330905932338,0.593467414901034,0.848429377872332
"FAM76B",0.127113472731316,4.78415890488167,2.95129902086394,0.593483190124142,0.848429377872332
"DDX31",0.149074451954184,4.35825229016551,4.09657038527581,0.593761808773713,0.84874478300733
"RTF1",0.0802776597191393,6.04829267684065,2.00604641373572,0.593848652612805,0.84875949386688
"ANKRD34A",0.326180477424414,2.52209460681495,5.08830474327371,0.593888082583405,0.84875949386688
"DLG2",-0.595645030767951,1.59288748319405,5.38843303677378,0.594022113358772,0.848867279648171
"MTMR2",-0.103378386681755,5.34508617940565,2.03413091574031,0.59416149249955,0.848867279648171
"RPL21P39",-0.540453062369959,1.70998542550997,5.42051655781064,0.594168622328698,0.848867279648171
"ITGB3",0.666996078383163,1.4641219160072,4.75542870919297,0.594195496036862,0.848867279648171
"MTHFSD",0.119528696346635,4.94413157237319,2.49781735925914,0.594340160126306,0.848991077845853
"SNRNP200",0.0261861726067152,9.23382595727723,0.432738738819136,0.59442490703836,0.849029270948905
"TXNDC17",0.16148973624368,4.14322456231668,3.52141574251809,0.59470121254811,0.849179705687384
"C12orf29",-0.156189444356639,4.23315176807326,4.18562955546514,0.594763148075707,0.849179705687384
"TDRD5",0.501811445034102,1.79936205032535,5.1600884385078,0.594793708545467,0.849179705687384
"ANKRD20A1",-0.581095751165001,1.61908901039875,6.54217790791578,0.594809343985721,0.849179705687384
"PMM1",-0.187937117467996,3.76179547004214,2.876199900277,0.594820329509911,0.849179705687384
"SAPCD1",0.57509040827203,1.62459297251919,5.25714219060216,0.594997836058669,0.849350270999189
"PGAM1P7",-0.531539160979595,1.72781751895239,5.99386177224673,0.5951506564208,0.849485567327368
"ATP9B",0.112965122764016,5.09088811881777,2.58545044323209,0.595285022620472,0.849529405326165
"ZNF252P-AS1",0.567634148618279,1.63901945661071,5.50852490749819,0.595351982373043,0.849529405326165
"RGL1",0.199090591581474,3.61100496230421,4.30047009536935,0.595407834265186,0.849529405326165
"ACTG1P17",0.656092733831001,1.47753780885643,6.78897058174596,0.595413544673121,0.849529405326165
"TRPM6",-0.427129745157739,2.04109391332,5.30733038781458,0.595542600269404,0.849630714255093
"NCOR2",-0.0423421427791575,7.85117659449975,0.458843209616176,0.595633419104749,0.849677458286267
"LINC00623",-0.249473651859385,3.08306197325422,4.07292121862768,0.595701021084156,0.849691077340192
"PLAC8L1",-0.544123001684576,1.69543834518679,2.89371359251969,0.595880956064146,0.849852749294879
"MYBL1",-0.16619878275309,4.06433918325525,2.81297316705382,0.595977182415491,0.849852749294879
"SCLT1",0.198395557094104,3.61567432196544,4.68500361222871,0.595988563730708,0.849852749294879
"SAFB",0.0524073392020817,7.23652569855248,1.44496982599103,0.5963080219247,0.850197444399536
"APOPT1",-0.235647284859401,3.20877825202361,4.34820149968663,0.596359588742474,0.850197444399536
"RAD51B",0.254395450931049,3.02957925080451,2.09723940914176,0.5964045614683,0.850197444399536
"SLC25A11",0.117525391417385,4.97247487536171,1.58439231094822,0.596727946986979,0.850575597205047
