"","logFC","logCPM","F","PValue"
"TRAPPC10",0.0866428546042298,6.00326715503368,2.42182148096894,0.5711282047707
"GAB3",0.736053784893603,2.09118254425717,15.8384732282378,0.347871140247345
"C21orf33",0.26067272830838,4.80639990575243,14.1552037883992,0.270150943310993
"C21orf2",1.13732556194284,4.04221916671575,106.411326065814,0.000485859215502033
"LRRC3",-0.374835220279257,4.77946871204284,19.488959041417,0.118342788532054
"FAM207A",0.172797143711269,3.51913892337791,1.37698403667898,0.657105951664509
"RALGDS",-0.726656945854906,6.45822313091994,112.579070439115,5.30880848957999e-08
"LSS",-0.755396403655719,7.8031421746622,133.727836701546,1.81811703880437e-08
"VAV2",0.1413038571323,6.11844455492562,6.5581718585104,0.335898379993764
"MCM3AP",0.217715897011539,6.86280868106779,15.2558986661047,0.0537881353595114
"C21orf58",0.20966390945698,3.10150733713736,3.48595024604289,0.652140564363689
"PCNT",-0.0467708778597251,6.40082631359529,0.627474221693397,0.724859602539127
"DIP2A",0.216595089206978,6.32985080817026,12.5546801606386,0.111974287982773
"PRMT2",-0.195440044308171,6.25230716135034,11.1167888401672,0.163667203868563
"ADAMTS13",0.47274370668498,4.6710945251848,26.301037477258,0.0581287953474857
"CACFD1",0.31418698163023,3.96951030252012,6.58228803619894,0.334055843024319
"SLC2A6",-0.712456686140087,4.78033299877503,76.3410482241845,0.00335787819797142
"ZNF761",0.700686563799094,4.66039760265137,85.2834446991317,0.00546756629041507
"C9orf116",-0.249534008797934,3.0415092547134,5.20247274221984,0.602353747968632
"ZNF714",-0.137013231993098,5.03658639535062,2.8484514524703,0.528230598451453
"GPSM1",-0.233593833572846,5.12951136630903,6.40641109235944,0.266631845366252
"C19orf47",0.0548763958327359,3.76440409113476,0.255374817309658,0.876195004970248
"HIPK4",-0.0909369649437074,1.38834659319756,0.091922627374097,0.945922939660141
"C9orf117",0.864551041271289,1.85966393406716,16.3377852241821,0.344746702947725
"TOR2A",0.196369428896963,3.27257731321365,2.7997087218371,0.649257079590251
"ST6GALNAC6",-0.102598371809994,5.09482938449668,2.10816988752557,0.629321453938726
"SHKBP1",0.00467181862865631,6.09602738788177,0.0029753885399896,0.974830233543154
"RDH13",0.0950767338028135,4.0890449352574,1.28564018754227,0.759008747255802
"ZER1",-0.0909343058045891,5.59141793080082,1.71178672405397,0.608353185530576
"ZDHHC12",0.274385971333065,4.59531317334956,6.58286068225901,0.283417884210049
"PKN3",0.332807467032367,5.3265650423289,14.1931243058369,0.08871657411
"SPTBN4",0.221037434497355,3.60183363162777,3.28206351303557,0.557035809519407
"BRSK1",-0.115042062912867,4.66292259240452,1.66049367892899,0.644596681394476
"COX6B2",-0.588243735152997,1.69785634713416,5.59433183916029,0.566285369814777
"TAOK1",-0.14261043836616,8.06574140578913,9.50650973996392,0.0543878703312331
"MED27",-0.208037557468063,3.84883871915325,3.84849762333908,0.542292905431474
"DEDD2",0.35102757026463,4.61120519303929,18.6404435271453,0.167884454816215
"SIK3",0.874666538260529,6.24116459822973,271.167416861025,1.0109618535306e-09
"MPZL3",-0.287396704348415,3.76119463098909,10.4887899918309,0.41701181895894
"NEK8",0.376147748340781,3.70084572178397,13.395656920277,0.299160006545282
"TLCD1",0.345863292536735,2.89552546411373,7.65786852082837,0.498568998759676
"PCSK7",0.377874558616811,5.44730394434134,36.9402723118166,0.0436228922351756
"SAFB",0.0524073392020817,7.23652569855248,1.44496982599103,0.5963080219247
"CHTOP",0.107540629210531,6.69303365445868,5.09965481745503,0.369305119435339
"ZBTB7B",0.31038399159067,5.6151740275214,19.1520865682402,0.0779509037326442
"FLAD1",0.00433247513808318,4.79621266147279,0.00361327253733432,0.985422630099068
"SHC1",-0.743901776790015,7.0142364031965,168.970837349552,4.13231678243176e-09
"VPS11",0.33137753931686,5.25746737301425,17.6958625243508,0.0983548295705239
"NLRX1",0.444295862273606,4.65237400450936,24.626356163358,0.076819394484135
"ADAR",0.770954196958745,9.63407514949601,357.94526830452,3.0796671191431e-11
"IL6R",0.575962450001872,3.51160300681354,22.8746679356176,0.142986720914529
"UBE2Q1",-0.122882016375765,6.02315093251346,3.95939460878164,0.419065285971888
"CRTC2",0.0731474586727216,5.41043544483051,0.839496256219262,0.699191608444067
"ANO10",-0.178380826045482,4.66602282181342,5.45218442724957,0.474328876896864
"FDPS",-1.33442486038125,7.4926261122679,602.749546079187,9.44126500885583e-13
"RUSC1",0.0980814928888258,5.61811271657214,2.41276356128953,0.576514008767832
"GBAP1",0.719662951357082,4.07992683410592,69.2873506315729,0.0222457084734516
"FAM189B",-0.524136100322843,5.68696042764307,35.5435109497255,0.00247421782034652
"PAQR6",0.19343022800167,4.17536121091283,2.73778359741195,0.518856698087619
"PMF1",0.448919747077572,3.32595205402004,20.6675739735588,0.28924991871584
"SLC25A44",-0.147161101774295,5.00498656846541,4.71423631772507,0.503161509331292
"LMNA",-0.954017113300504,8.29194912219394,285.852154133624,1.36140460201687e-10
"NBEAL2",0.809286809220468,7.39457549724358,107.221003382916,7.16807574449715e-08
"CCDC12",-0.0958296313063256,3.97280837660513,1.14540839039109,0.767818182586478
"PTH1R",-0.874116314463694,1.52831623068792,10.6429709859993,0.465063923348361
"UBQLN4",-0.113723370819769,6.68087518454166,5.33445096714278,0.344981501574744
"PPP1R35",-0.127021705413876,3.51392613004785,0.61122239334527,0.744960319562567
"GPATCH4",0.539970703486867,4.72451766860137,47.7617169861223,0.0275250705398691
"FGFR4",-0.760860792533915,6.00571211758741,86.7706595649194,1.08583778025504e-06
"NACC1",-0.0579715550359036,7.21032604845838,0.566633940601553,0.561665448466249
"IER2",-0.23737482124152,6.36194483888443,9.50237508022516,0.078827653764333
"ZNF394",-0.113388264871241,4.3560012767781,2.06974381775789,0.68550044995096
"CPSF4",-0.128382469100167,4.85503362137875,1.8973122136795,0.580401029951341
"LY6E",0.667058123498924,6.90332013345265,89.3276933486866,2.17518152698861e-07
"VPS28",0.0165032281515759,5.97244359872025,0.0477295315146155,0.91504837836285
"TONSL",0.772934253660834,6.11036062202025,86.3630580579466,2.66363127548569e-07
"MUM1",0.268207846626031,6.13601531117453,20.7382788973039,0.0663286009902828
"RECQL4",0.507163921016543,6.37302280568715,33.7930327989302,0.000169669759451089
"LRRC14",0.523039882991227,5.84473582730168,41.1270715560279,0.00131919035385949
"ZNF333",0.129791537212043,3.89318493185356,2.32434356878285,0.698137819247232
"COL26A1",0.231651353504227,1.62903341528903,1.00794087314414,0.828826463246248
"PPP1R16A",0.371303079631239,5.96773391123189,15.7621409039361,0.016827503216384
"FOXH1",-0.241167128236401,1.57531796956788,0.939868613617124,0.830091958839865
"ORAI2",0.452069359724484,5.50891940328315,56.3935104818541,0.0137184255903409
"ALKBH4",-0.0453870170869128,3.59503210176711,0.214981720175428,0.904272004990987
"SH2B2",0.328979508586253,3.17930512901291,6.15898969633496,0.464873891590954
"C5orf45",0.317233828973627,5.32643002398685,14.6139091619519,0.104622127791999
"SQSTM1",0.472470053659475,8.41043134158559,92.1378493172529,1.80480956864496e-07
"MGAT4B",0.143696304239535,6.91302928188326,5.14234076378178,0.194911129375328
